# zmp::izac::GPSRecPlay Ver1.01 (20151024)
# recorder zmp::izac::GPSRecPlay Ver0.0.0-5-g1f7d17d
# sender zmp::izac::AdvancedNavigationGPS Ver0.0.0-12-gb63bd2c-dirty
# logtime, timestamp, availability, latitude, longitude, fixQuality, numSatellites, hdop, altitude, magVariation, heading, direction, speed,
6.373988317,2020-02-19 07:32:24.155324,1,0,0,0,0,0,0,0,0,0,0,
6.425312297000001,2020-02-19 07:32:24.206646,1,0,0,0,0,0,0,0,0,0,0,
6.484934113,2020-02-19 07:32:24.266273,1,0,0,0,0,0,0,0,0,0,0,
6.514289065000001,2020-02-19 07:32:24.295629,1,0,0,0,0,0,0,0,0,0,0,
6.573910029,2020-02-19 07:32:24.355282,1,0,0,0,0,0,0,0,0,0,0,
6.625294203,2020-02-19 07:32:24.406666,1,0,0,0,0,0,0,0,0,0,0,
6.684946511000001,2020-02-19 07:32:24.466300,1,0,0,0,0,0,0,0,0,0,0,
6.714275299000001,2020-02-19 07:32:24.495647,1,0,0,0,0,0,0,0,0,0,0,
6.773873187,2020-02-19 07:32:24.555246,1,0,0,0,0,0,0,0,0,0,0,
6.825280871,2020-02-19 07:32:24.606591,1,0,0,0,0,0,0,0,0,0,0,
6.884888849,2020-02-19 07:32:24.666261,1,0,0,0,0,0,0,0,0,0,0,
6.914231871,2020-02-19 07:32:24.695582,1,0,0,0,0,0,0,0,0,0,0,
6.973911340000001,2020-02-19 07:32:24.755240,1,0,0,0,0,0,0,0,0,0,0,
7.025251142,2020-02-19 07:32:24.806585,1,0,0,0,0,0,0,0,0,0,0,
7.084854811,2020-02-19 07:32:24.866201,1,0,0,0,0,0,0,0,0,0,0,
7.114207268,2020-02-19 07:32:24.895545,1,0,0,0,0,0,0,0,0,0,0,
7.173841497000001,2020-02-19 07:32:24.955174,1,0,0,0,0,0,0,0,0,0,0,
7.225168656,2020-02-19 07:32:25.006503,1,0,0,0,0,0,0,0,0,0,0,
7.284758702,2020-02-19 07:32:25.066118,1,0,0,0,0,0,0,0,0,0,0,
7.314246484000001,2020-02-19 07:32:25.095566,1,0,0,0,0,0,0,0,0,0,0,
7.373831829,2020-02-19 07:32:25.155165,1,0,0,0,0,0,0,0,0,0,0,
7.425111827,2020-02-19 07:32:25.206484,1,0,0,0,0,0,0,0,0,0,0,
7.48477627,2020-02-19 07:32:25.266146,1,0,0,0,0,0,0,0,0,0,0,
7.514183905,2020-02-19 07:32:25.295557,1,0,0,0,0,0,0,0,0,0,0,
7.573822434,2020-02-19 07:32:25.355157,1,0,0,0,0,0,0,0,0,0,0,
7.625186189000001,2020-02-19 07:32:25.406558,1,0,0,0,0,0,0,0,0,0,0,
7.684712030000001,2020-02-19 07:32:25.466082,1,0,0,0,0,0,0,0,0,0,0,
7.714170523000001,2020-02-19 07:32:25.495491,1,0,0,0,0,0,0,0,0,0,0,
7.773786726000001,2020-02-19 07:32:25.555119,1,0,0,0,0,0,0,0,0,0,0,
7.825244629,2020-02-19 07:32:25.606577,1,0,0,0,0,0,0,0,0,0,0,
7.884667614,2020-02-19 07:32:25.666036,1,0,0,0,0,0,0,0,0,0,0,
7.914078787,2020-02-19 07:32:25.695448,1,0,0,0,0,0,0,0,0,0,0,
7.965520931,2020-02-19 07:32:25.746858,1,0,0,0,0,0,0,0,0,0,0,
8.025090791,2020-02-19 07:32:25.806420,1,0,0,0,0,0,0,0,0,0,0,
8.084632313,2020-02-19 07:32:25.866001,1,0,0,0,0,0,0,0,0,0,0,
8.114065867000001,2020-02-19 07:32:25.895387,1,0,0,0,0,0,0,0,0,0,0,
8.165441572000001,2020-02-19 07:32:25.946788,1,0,0,0,0,0,0,0,0,0,0,
8.225094901,2020-02-19 07:32:26.006418,1,0,0,0,0,0,0,0,0,0,0,
8.284649538,2020-02-19 07:32:26.066020,1,0,0,0,0,0,0,0,0,0,0,
8.314075354,2020-02-19 07:32:26.095411,1,0,0,0,0,0,0,0,0,0,0,
8.365422654000001,2020-02-19 07:32:26.146761,1,0,0,0,0,0,0,0,0,0,0,
8.425061171000001,2020-02-19 07:32:26.206396,1,0,0,0,0,0,0,0,0,0,0,
8.484642856000001,2020-02-19 07:32:26.266012,1,0,0,0,0,0,0,0,0,0,0,
8.514048997,2020-02-19 07:32:26.295392,1,0,0,0,0,0,0,0,0,0,0,
8.565390277000001,2020-02-19 07:32:26.346724,1,0,0,0,0,0,0,0,0,0,0,
8.625039560000001,2020-02-19 07:32:26.406382,1,0,0,0,0,0,0,0,0,0,0,
8.684657697,2020-02-19 07:32:26.465978,1,0,0,0,0,0,0,0,0,0,0,
8.714024269000001,2020-02-19 07:32:26.495364,1,0,0,0,0,0,0,0,0,0,0,
8.765382174000001,2020-02-19 07:32:26.546717,1,0,0,0,0,0,0,0,0,0,0,
8.824981672,2020-02-19 07:32:26.606313,1,0,0,0,0,0,0,0,0,0,0,
8.884541139000001,2020-02-19 07:32:26.665909,1,0,0,0,0,0,0,0,0,0,0,
8.914012613000001,2020-02-19 07:32:26.695348,1,0,0,0,0,0,0,0,0,0,0,
8.965340883000001,2020-02-19 07:32:26.746655,1,0,0,0,0,0,0,0,0,0,0,
9.024904012,2020-02-19 07:32:26.806274,1,0,0,0,0,0,0,0,0,0,0,
9.084544709000001,2020-02-19 07:32:26.865912,1,0,0,0,0,0,0,0,0,0,0,
9.113928215000001,2020-02-19 07:32:26.895253,1,0,0,0,0,0,0,0,0,0,0,
9.165316591,2020-02-19 07:32:26.946637,1,0,0,0,0,0,0,0,0,0,0,
9.224892626000001,2020-02-19 07:32:27.006264,1,0,0,0,0,0,0,0,0,0,0,
9.284498584000001,2020-02-19 07:32:27.065868,1,0,0,0,0,0,0,0,0,0,0,
9.313914984,2020-02-19 07:32:27.095245,1,0,0,0,0,0,0,0,0,0,0,
9.365343006,2020-02-19 07:32:27.146676,1,0,0,0,0,0,0,0,0,0,0,
9.424883143000001,2020-02-19 07:32:27.206253,1,0,0,0,0,0,0,0,0,0,0,
9.484471958,2020-02-19 07:32:27.265819,1,0,0,0,0,0,0,0,0,0,0,
9.506573196,2020-02-19 07:32:27.287902,1,0,0,0,0,0,0,0,0,0,0,
9.565298202000001,2020-02-19 07:32:27.346627,1,0,0,0,0,0,0,0,0,0,0,
9.624820973,2020-02-19 07:32:27.406189,1,0,0,0,0,0,0,0,0,0,0,
9.684477311,2020-02-19 07:32:27.465808,1,0,0,0,0,0,0,0,0,0,0,
9.744080424,2020-02-19 07:32:27.525446,1,0,0,0,0,0,0,0,0,0,0,
9.765210242,2020-02-19 07:32:27.546530,1,0,0,0,0,0,0,0,0,0,0,
9.824831871000001,2020-02-19 07:32:27.606142,1,0,0,0,0,0,0,0,0,0,0,
9.884441457000001,2020-02-19 07:32:27.665781,1,0,0,0,0,0,0,0,0,0,0,
